"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","803 - LADD","426","459","61","14","1","961","1165","31","1196"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","804 - GOOSE CREEK","518","704","88","24","3","1337","1580","45","1625"
"2024 November General","11/05/2024 00:00:00","AUGUSTA COUNTY","AUGUSTA COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","101 - WARM SPRINGS","179","260","15","4","2","460","548","57","605"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","102 - MOUNTAIN GROVE","15","54","3","3","","75","93","0","93"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","201 - HOT SPRINGS","142","269","16","9","1","437","630","34","664"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","301 - FAIRVIEW","95","293","27","6","1","422","547","12","559"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","302 - BURNSVILLE","22","64","5","5","","96","121","8","129"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","401 - MILLBORO","93","433","26","13","1","566","704","24","728"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","501 - HEALING SPRINGS","112","384","36","14","","546","686","32","718"
"2024 November General","11/05/2024 00:00:00","BATH COUNTY","BATH COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","101 - GOODVIEW ELEM SCHOOL","677","1315","152","37","3","2184","2833","108","2941"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","102 - HARDY VOL FIRE CO","174","696","50","28","","948","1168","30","1198"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","103 - CHAMBLISSBURG BAPTIST CHURCH","493","922","87","38","5","1545","1984","64","2048"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","104 - BARNHARDT BAPTIST CHURCH","321","832","76","33","1","1263","1604","42","1646"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","105 - DIAMOND HILL BAPTIST CHURCH","402","585","70","28","2","1087","1341","61","1402"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","201 - BEDFORD CHRISTIAN CHURCH","337","371","36","10","2","756","998","45","1043"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","202 - STAUNTON RIVER HIGH SCHOOL","466","808","69","29","6","1378","1753","45","1798"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","203 - EASTLAKE COMMUNITY CHURCH","919","1003","169","37","4","2132","2739","107","2846"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","204 - HUDDLESTON ELEMENTARY SCHOOL","490","737","44","26","","1297","1636","57","1693"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","205 - SAUNDERS VOL FIRE CO","765","906","140","19","6","1836","2177","105","2282"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","301 - NEW LONDON ACADEMY","1112","1041","173","31","12","2369","2760","114","2874"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","302 - BEDFORD COUNTY GYM","1097","657","75","29","2","1860","2338","80","2418"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","303 - FOREST ALLIANCE CHURCH","436","491","105","19","4","1055","1216","45","1261"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","304 - ONE IN CHRIST CHURCH","364","454","53","9","5","885","1067","40","1107"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","305 - FOREST FIRE STATION #2","669","578","104","24","5","1380","1641","52","1693"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","401 - FOREST ELEMENTARY SCHOOL","1093","1347","217","40","17","2714","3169","189","3358"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","402 - THOMAS JEFFERSON ELEM SCHOOL","808","1078","189","24","10","2109","2475","110","2585"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","403 - PLEASANT VIEW BAPTIST CHURCH","818","994","173","70","6","2061","2552","176","2728"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","404 - FOREST RECREATION CENTER","272","505","63","23","3","866","1140","81","1221"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","501 - BIG ISLAND ELEMENTARY SCHOOL","458","713","66","26","1","1264","1588","41","1629"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","502 - SUCK SPRING BAPTIST CHURCH","475","514","44","21","2","1056","1242","37","1279"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","503 - BOONSBORO ELEMENTARY SCHOOL","555","1236","240","35","10","2076","2442","100","2542"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","504 - BOONSBORO RURITAN CLUB","1277","1745","295","57","10","3384","3928","147","4075"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","601 - MONTVALE ELEM SCHOOL","443","981","85","37","3","1549","1978","73","2051"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","602 - SHADY GROVE FIRE DEPARTMENT","493","1228","98","36","3","1858","2407","74","2481"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","603 - BEDFORD MOOSE LODGE ","487","471","51","22","4","1035","1308","36","1344"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","604 - BEDFORD WELCOME CENTER","1053","795","150","48","5","2051","2791","127","2918"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","701 - GOODE VOL RESCUE SQUAD","984","1177","157","26","5","2349","2730","78","2808"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","702 - LIBERTY HIGH SCHOOL","758","503","67","25","","1353","1684","49","1733"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","703 - THAXTON BAPTIST CHURCH ","543","511","47","11","3","1115","1365","39","1404"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","704 - BEDFORD CENTRAL LIBRARY","1097","696","147","37","3","1980","2614","90","2704"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","705 - MOUNTAIN VIEW CHURCH","154","316","37","32","","539","660","18","678"
"2024 November General","11/05/2024 00:00:00","BEDFORD COUNTY","BEDFORD COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","101 - BASTIAN","132","255","25","2","","414","523","51","574"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","102 - CERES","186","282","27","3","2","500","594","34","628"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","201 - DAVIS","46","102","10","4","","162","210","17","227"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","202 - SEDDON","356","368","21","6","1","752","913","61","974"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","301 - HOLLYBROOK","120","360","13","5","","498","612","33","645"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","302 - MECHANICSBURG","68","224","8","2","","302","366","17","383"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","401 - ROCKY GAP","319","557","61","7","","944","1185","107","1292"
"2024 November General","11/05/2024 00:00:00","BLAND COUNTY","BLAND COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","101 - DALEVILLE","1373","1258","205","53","5","2894","3460","144","3604"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","102 - GREENFIELD","1024","863","203","15","4","2109","2445","65","2510"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","201 - BLUE RIDGE","735","1300","131","18","7","2191","2600","101","2701"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","202 - RAINBOW FOREST","781","1275","157","30","4","2247","2652","80","2732"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","301 - BUCHANAN","658","1165","96","36","3","1958","2440","68","2508"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","302 - MILL CREEK","894","1110","105","25","2","2136","2590","74","2664"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","403 - EAGLE ROCK","437","855","76","19","2","1389","1693","43","1736"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","406 - FINCASTLE","1630","1171","141","33","4","2979","3535","102","3637"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","501 - TROUTVILLE","502","694","87","14","3","1300","1660","36","1696"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","502 - CLOVERDALE","1364","1239","220","40","6","2869","3421","88","3509"
"2024 November General","11/05/2024 00:00:00","BOTETOURT COUNTY","BOTETOURT COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","001 - FIRST PRECINCT","552","762","150","36","6","1506","2479","281","2760"
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","002 - SECOND PRECINCT","779","791","153","37","10","1770","2661","416","3077"
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","003 - THIRD PRECINCT","580","508","114","47","8","1257","2380","313","2693"
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","004 - FOURTH PRECINCT","914","884","129","12","4","1943","2631","237","2868"
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","005 - FIFTH PRECINCT","486","457","81","23","8","1055","1381","123","1504"
"2024 November General","11/05/2024 00:00:00","BRISTOL CITY","BRISTOL CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","101 - BRODNAX","94","266","16","6","1","383","554","16","570"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","102 - ROCK STORE","207","366","43","6","1","623","862","25","887"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","103 - TILLMAN","253","473","61","13","2","802","1071","44","1115"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","201 - DROMGOOLE","70","138","28","6","","242","319","8","327"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","202 - EDGERTON","336","297","58","15","","706","1097","51","1148"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","203 - FITZHUGH","211","357","39","5","","612","855","18","873"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","301 - ALBERTA","37","107","5","4","","153","222","8","230"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","302 - DANIELTOWN","236","434","55","14","","739","974","41","1015"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","303 - ELMORE","137","210","25","3","","375","492","13","505"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","304 - SEYMOUR","88","235","15","6","","344","469","14","483"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","401 - STURGEON","495","539","82","8","","1124","1589","46","1635"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","402 - KING'S STORE","140","199","23","5","","367","514","13","527"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","501 - TOTARO","658","518","139","22","1","1338","2003","96","2099"
"2024 November General","11/05/2024 00:00:00","BRUNSWICK COUNTY","BRUNSWICK COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","102 - BLACKEY","86","295","17","","","398","588","17","605"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","103 - HURLEY","197","720","52","21","","990","1543","68","1611"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","201 - GRASSY","14","100","4","4","1","123","193","5","198"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","202 - BULL","159","386","28","8","","581","890","32","922"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","203 - ROCKLICK","151","477","38","21","1","688","1070","46","1116"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","301 - SLATE","201","539","29","13","","782","1203","41","1244"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","302 - NORTH GRUNDY","206","411","33","23","8","681","1048","71","1119"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","403 - SOUTH GRUNDY","233","415","30","12","1","691","1024","53","1077"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","404 - OAKWOOD","27","53","1","1","","82","126","11","137"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","405 - Grundy","170","178","15","12","3","378","573","53","626"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","501 - PRATER","143","420","21","14","2","600","870","31","901"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","502 - FOX","28","140","12","4","","184","280","13","293"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","503 - VANSANT","192","348","35","5","","580","828","27","855"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","601 - COUNCIL","47","362","24","14","","447","621","11","632"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","602 - GARDEN","125","433","32","9","","599","863","34","897"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","603 - HURRICANE","55","266","19","6","1","347","543","18","561"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","701 - WHITEWOOD","148","505","37","13","2","705","1105","50","1155"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","702 - CONTRARY","129","440","24","17","","610","864","30","894"
"2024 November General","11/05/2024 00:00:00","BUCHANAN COUNTY","BUCHANAN COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","101 - NEW CANTON","354","726","72","12","1","1165","1661","72","1733"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","201 - WHITE HALL","474","519","61","22","7","1083","1525","79","1604"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","301 - CURDSVILLE","260","443","52","8","1","764","997","51","1048"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","302 - NEW STORE","219","204","24","4","","451","580","37","617"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","401 - MAYSVILLE","592","536","77","10","4","1219","1635","80","1715"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","501 - WRIGHTS","153","230","13","5","","401","548","28","576"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","502 - GLENMORE","295","390","63","14","5","767","1039","53","1092"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","601 - SLATE RIVER","226","385","35","2","1","649","841","43","884"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","602  - GEORGIA CREEK","248","318","65","8","","639","933","50","983"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","701 - GOLD HILL","340","447","46","4","3","840","1175","46","1221"
"2024 November General","11/05/2024 00:00:00","BUCKINGHAM COUNTY","BUCKINGHAM COUNTY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","BUENA VISTA CITY","001 - FIRST WARD","803","647","116","42","1","1609","2240","128","2368"
"2024 November General","11/05/2024 00:00:00","BUENA VISTA CITY","002 - SECOND WARD","600","488","89","96","4","1277","1964","374","2338"
"2024 November General","11/05/2024 00:00:00","BUENA VISTA CITY","BUENA VISTA CITY PROVISIONALS","","","","","","","","",""
"2024 November General","11/05/2024 00:00:00","CAMPBELL COUNTY","101 - BROOKVILLE","748","1365","173","46","11","2343","2938","166","3104"
"2024 November General","11/05/2024 00:00:00","CAMPBELL COUNTY","102 - NEW LONDON","782","1297","146","55","7","2287","2865","232","3097"
"2024 November General","11/05/2024 00:00:00","CAMPBELL COUNTY","201 - WALKER","584","1319","148","95","12","2158","2937","236","3173"
"2024 November General","11/05/2024 00:00:00","CAMPBELL COUNTY","202 - BEDFORD SPRINGS","853","1270","148","54","7","2332","2908","189","3097"
"2024 November General","11/05/2024 00:00:00","CAMPBELL COUNTY","301 - EVINGTON","332","767","45","19","3","1166","1501","41","1542"
